car,model,year,body part,shop1,shop2,shop3,source
camry,camry,2020,passenger door (r/r),1800,1810,2758.51,kaggle
camry,camry,2020,rear bumper,950,790,1390.35,kaggle
camry,camry,2020,rear light (l),790,1900,1096,kaggle
camry,camry,2020,rear light (r),790,1900,1096,kaggle
camry,camry,2020,side bumper(l),450,215,890,kaggle
camry,camry,2020,side bumper(r),450,215,890,kaggle
camry,camry,2021,car boot,2200,1705,2794.67,kaggle
camry,camry,2021,car hood,1630,1224,2309.83,kaggle
camry,camry,2021,driver door(f/r),1480,3459,3285.38,kaggle
camry,camry,2021,fender (f/l),650,477,1025.8,kaggle
camry,camry,2021,fender (f/r),720,477,1025.8,kaggle
camry,camry,2021,fender (r/l),650,477,1170.7,kaggle
camry,camry,2021,fender (r/r),720,477,1170.7,kaggle
camry,camry,2021,front bumper,670,800,1299.5,kaggle
camry,camry,2021,headlight (l),920,815,4109,kaggle
camry,camry,2021,headlight (r),920,815,4109,kaggle
camry,camry,2021,passenger door (f/l),2800,3459,2758.51,kaggle
camry,camry,2021,passenger door (r/l),1800,3852,2758.51,kaggle
camry,camry,2021,passenger door (r/r),1600,1637,2758.51,kaggle
camry,camry,2021,rear bumper,890,890,1390.35,kaggle
camry,camry,2021,rear light (l),1200,2800,4626,kaggle
camry,camry,2021,rear light (r),1200,2800,4626,kaggle
camry,camry,2021,side bumper(l),null  ,450,680,kaggle
camry,camry,2021,side bumper(r),null  ,450,680,kaggle
camry,camry,2022,car boot,2389,3590,5797.55,kaggle
camry,camry,2022,car hood,1630,1064,2677.37,kaggle
camry,camry,2022,driver door(f/r),2750,3853,2280.51,kaggle
camry,camry,2022,fender (f/l),484.84,610,1025.8,kaggle
camry,camry,2022,fender (f/r),484.84,610,1025.8,kaggle
camry,camry,2022,fender (r/l),484.84,834,1206.24,kaggle
camry,camry,2022,fender (r/r),484.84,834,1206.24,kaggle
camry,camry,2022,front bumper,760,930,1299.5,kaggle
camry,camry,2022,headlight (l),853,815,2209.15,kaggle
camry,camry,2022,headlight (r),853,815,2209.15,kaggle
camry,camry,2022,passenger door (f/l),1698,1500,2280.51,kaggle
camry,camry,2022,passenger door (r/l),1698,1500,2280.51,kaggle
camry,camry,2022,passenger door (r/r),1698,1500,2280.51,kaggle
camry,camry,2022,rear bumper,839,1493,1390.35,kaggle
camry,camry,2022,rear light (l),830,816,2897,kaggle
camry,camry,2022,rear light (r),830,816,2897,kaggle
camry,camry,2022,side bumper(l),null  ,450,680,kaggle
camry,camry,2022,side bumper(r),null  ,450,680,kaggle
camry,camry,2023,car boot,2800,2350,5797.55,kaggle
camry,camry,2023,car hood,1630,1060,3797.59,kaggle
camry,camry,2023,driver door(f/r),1900,3000,2280,kaggle
camry,camry,2023,fender (f/l),875,834,1025.8,kaggle
camry,camry,2023,fender (f/r),650,834,1025.8,kaggle
camry,camry,2023,fender (r/l),875,834,1260,kaggle
camry,camry,2023,fender (r/r),650,843,1260,kaggle
camry,camry,2023,front bumper,620,590,1860,kaggle
camry,camry,2023,headlight (l),930,1890,4710,kaggle
camry,camry,2023,headlight (r),930,1890,4710,kaggle
camry,camry,2023,passenger door (f/l),1800,2800,2280,kaggle
camry,camry,2023,passenger door (r/l),1800,2800,2280,kaggle
camry,camry,2023,passenger door (r/r),1800,2800,2280,kaggle
camry,camry,2023,rear bumper,750,1080,1390.35,kaggle
camry,camry,2023,rear light (l),1200,2800,4626,kaggle
camry,camry,2023,rear light (r),1200,2800,4626,kaggle
camry,camry,2023,side bumper(l),null  ,215,560,kaggle
camry,camry,2023,side bumper(r),null  ,215,560,kaggle
camry,camry,2024,car boot,1630,1705,3101,kaggle
camry,camry,2024,car hood,2300,1224,4532,kaggle
camry,camry,2024,driver door(f/r),5100,3853,4200,kaggle
camry,camry,2024,fender (f/l),650,715,1301,kaggle
camry,camry,2024,fender (f/r),875,887,1613,kaggle
camry,camry,2024,fender (r/l),650,1890,2900,kaggle
camry,camry,2024,fender (r/r),950,1700,2900,kaggle
camry,camry,2024,front bumper,650,1230,1484.13,kaggle
camry,camry,2024,headlight (l),2300,2500,3400,kaggle
camry,camry,2024,headlight (r),2300,2500,3400,kaggle
camry,camry,2024,passenger door (f/l),6200,3459,3330,kaggle
camry,camry,2024,passenger door (r/l),1800,1800,3800,kaggle
camry,camry,2024,passenger door (r/r),1940,3800,3380,kaggle
camry,camry,2024,rear bumper,890,900,918,kaggle
camry,camry,2024,rear light (l),1633,2800,4626,kaggle
camry,camry,2024,rear light (r),1633,2800,4626,kaggle
camry,camry,2024,side bumper(l),null  ,450,680,kaggle
camry,camry,2024,side bumper(r),null  ,450,680,kaggle
elantra,elantra,2018,car boot,1900,1000,2532.7,kaggle
elantra,elantra,2018,car hood,382,1200,2409.54,kaggle
elantra,elantra,2018,driver door(f/r),1200,1350,1750.7,kaggle
elantra,elantra,2018,fender (f/l),600,550,869.19,kaggle
elantra,elantra,2018,fender (f/r),600,580,869.19,kaggle
elantra,elantra,2018,fender (r/l),600,800,2809.4,kaggle
elantra,elantra,2018,fender (r/r),600,800,2809.4,kaggle
elantra,elantra,2018,front bumper,206,850,972.61,kaggle
elantra,elantra,2018,headlight (l),300,230,1696.25,kaggle
elantra,elantra,2018,headlight (r),276,230,1696.25,kaggle
elantra,elantra,2018,passenger door (f/l),1200,1100,1750.7,kaggle
elantra,elantra,2018,passenger door (r/l),1200,1100,3237,kaggle
elantra,elantra,2018,passenger door (r/r),1200,1800,3237,kaggle
elantra,elantra,2018,rear bumper,239,900,1265,kaggle
elantra,elantra,2018,rear light (l),301,117,582,kaggle
elantra,elantra,2018,rear light (r),276,117,480,kaggle
elantra,elantra,2018,side bumper(l),null  ,450,680,kaggle
elantra,elantra,2018,side bumper(r),null  ,450,680,kaggle
elantra,elantra,2019,car boot,1554,1100,2532.7,kaggle
elantra,elantra,2019,car hood,436,1200,1945.23,kaggle
elantra,elantra,2019,driver door(f/r),1200,1350,1750.7,kaggle
elantra,elantra,2019,fender (f/l),188,550,2500,kaggle
elantra,elantra,2019,fender (f/r),380,580,2500,kaggle
elantra,elantra,2019,fender (r/l),188,550,2232.15,kaggle
elantra,elantra,2019,fender (r/r),480,580,2232.15,kaggle
elantra,elantra,2019,front bumper,153,850,1143,kaggle
elantra,elantra,2019,headlight (l),460,1200,3409.5,kaggle
elantra,elantra,2019,headlight (r),460,1200,3409.5,kaggle
elantra,elantra,2019,passenger door (f/l),1100,1000,1750.7,kaggle
elantra,elantra,2019,passenger door (r/l),1100,1780,2800,kaggle
elantra,elantra,2019,passenger door (r/r),1100,1780,2800,kaggle
elantra,elantra,2019,rear bumper,239,600,1414.5,kaggle
elantra,elantra,2019,rear light (l),280,120,1298,kaggle
elantra,elantra,2019,rear light (r),176,120,1298,kaggle
elantra,elantra,2019,side bumper(l),null  ,450,680,kaggle
elantra,elantra,2019,side bumper(r),null  ,450,680,kaggle
elantra,elantra,2020,car boot,1554,1200,2532.7,kaggle
elantra,elantra,2020,car hood,436,1100,1945.23,kaggle
elantra,elantra,2020,driver door(f/r),1400,1350,3568.27,kaggle
elantra,elantra,2020,fender (f/l),188,550,1955,kaggle
elantra,elantra,2020,fender (f/r),480,580,1955,kaggle
elantra,elantra,2020,fender (r/l),859,288,2807,kaggle
elantra,elantra,2020,fender (r/r),850,288,2807,kaggle
elantra,elantra,2020,front bumper,153,283,1143,kaggle
elantra,elantra,2020,headlight (l),460,320,2385.57,kaggle
elantra,elantra,2020,headlight (r),460,320,2385.57,kaggle
elantra,elantra,2020,passenger door (f/l),3560,2693,3568.27,kaggle
elantra,elantra,2020,passenger door (r/l),3560,2693,3568.27,kaggle
elantra,elantra,2020,passenger door (r/r),3560,2693,3568.27,kaggle
elantra,elantra,2020,rear bumper,800,520,1414.5,kaggle
elantra,elantra,2020,rear light (l),280,680,1900,kaggle
elantra,elantra,2020,rear light (r),175,120,1900,kaggle
elantra,elantra,2020,side bumper(l),null  ,650,860,kaggle
elantra,elantra,2020,side bumper(r),null  ,650,860,kaggle
elantra,elantra,2021,car boot,1554,3373,3500,kaggle
elantra,elantra,2021,car hood,752,2888,3411.48,kaggle
elantra,elantra,2021,driver door(f/r),814,3568,3515.48,kaggle
elantra,elantra,2021,fender (f/l),413,721,2225.77,kaggle
elantra,elantra,2021,fender (f/r),340,721,2225.77,kaggle
elantra,elantra,2021,fender (r/l),413,890,2807,kaggle
elantra,elantra,2021,fender (r/r),340,890,2807,kaggle
elantra,elantra,2021,front bumper,288,550,1161,kaggle
elantra,elantra,2021,headlight (l),412,1150,2385.57,kaggle
elantra,elantra,2021,headlight (r),412,1150,2385.57,kaggle
elantra,elantra,2021,passenger door (f/l),3586,2639,3515.48,kaggle
elantra,elantra,2021,passenger door (r/l),1500,1700,3380,kaggle
elantra,elantra,2021,passenger door (r/r),1500,1700,3380,kaggle
elantra,elantra,2021,rear bumper,239,800,1200,kaggle
elantra,elantra,2021,rear light (l),280,1250,890,kaggle
elantra,elantra,2021,rear light (r),280,1250,890,kaggle
elantra,elantra,2021,side bumper(l),null  ,450,680,kaggle
elantra,elantra,2021,side bumper(r),null  ,450,680,kaggle
elantra,elantra,2022,car boot,752,1700,3373.17,kaggle
elantra,elantra,2022,car hood,3560,1600,3411.48,kaggle
elantra,elantra,2022,driver door(f/r),814,1700,3515.48,kaggle
elantra,elantra,2022,fender (f/l),413,900,1955,kaggle
elantra,elantra,2022,fender (f/r),188,900,1955,kaggle
elantra,elantra,2022,fender (r/l),413,900,2802,kaggle
elantra,elantra,2022,fender (r/r),188,900,2807,kaggle
elantra,elantra,2022,front bumper,288,480,1661,kaggle
elantra,elantra,2022,headlight (l),302,412,2385.57,kaggle
elantra,elantra,2022,headlight (r),302,412,2385.57,kaggle
elantra,elantra,2022,passenger door (f/l),3560,1900,3515.48,kaggle
elantra,elantra,2022,passenger door (r/l),1500,1600,3380,kaggle
elantra,elantra,2022,passenger door (r/r),1500,1700,3380,kaggle
elantra,elantra,2022,rear bumper,239,650,975.5,kaggle
elantra,elantra,2022,rear light (l),560,1250,890,kaggle
elantra,elantra,2022,rear light (r),142,1250,890,kaggle
elantra,elantra,2022,side bumper(l),null  ,129,450,kaggle
elantra,elantra,2022,side bumper(r),null  ,129,450,kaggle
elantra,elantra,2023,car boot,645,1239,2883.58,kaggle
elantra,elantra,2023,car hood,2200,1600,3339.82,kaggle
elantra,elantra,2023,driver door(f/r),1700,2400,"2707,97",kaggle
elantra,elantra,2023,fender (f/l),1200,1050,1755.24,kaggle
elantra,elantra,2023,fender (f/r),1200,1050,1755.24,kaggle
elantra,elantra,2023,fender (r/l),1200,1050,1755.24,kaggle
elantra,elantra,2023,fender (r/r),1200,1050,1755.24,kaggle
elantra,elantra,2023,front bumper,288,550,632,kaggle
elantra,elantra,2023,headlight (l),1200,700,2180,kaggle
elantra,elantra,2023,headlight (r),1200,700,2180,kaggle
elantra,elantra,2023,passenger door (f/l),1800,2500,2707.97,kaggle
elantra,elantra,2023,passenger door (r/l),1500,1700,2707.97,kaggle
elantra,elantra,2023,passenger door (r/r),1500,1700,2707.97,kaggle
elantra,elantra,2023,rear bumper,261,460,1293,kaggle
elantra,elantra,2023,rear light (l),184,390,2112,kaggle
elantra,elantra,2023,rear light (r),142,390,2112,kaggle
elantra,elantra,2023,side bumper(l),null  ,450,890,kaggle
elantra,elantra,2023,side bumper(r),null  ,450,890,kaggle
elantra,elantra,2024,car boot,3800,3500,5129.11,kaggle
elantra,elantra,2024,car hood,3500,2500,6020.35,kaggle
elantra,elantra,2024,driver door(f/r),3500,2706,4129.11,kaggle
elantra,elantra,2024,fender (f/l),200,980,1755.35,kaggle
elantra,elantra,2024,fender (f/r),200,980,1755.35,kaggle
elantra,elantra,2024,fender (r/l),2500,2800,1755.35,kaggle
elantra,elantra,2024,fender (r/r),2500,2800,1755.35,kaggle
elantra,elantra,2024,front bumper,288,1000,1519,kaggle
elantra,elantra,2024,headlight (l),516,1700,1300,kaggle
elantra,elantra,2024,headlight (r),516,1700,1300,kaggle
elantra,elantra,2024,passenger door (f/l),2500,3410,6587.15,kaggle
elantra,elantra,2024,passenger door (r/l),3500,4500,7900.08,kaggle
elantra,elantra,2024,passenger door (r/r),3500,4500,7900.08,kaggle
elantra,elantra,2024,rear bumper,262,1890,1490.98,kaggle
elantra,elantra,2024,rear light (l),140,400,1700,kaggle
elantra,elantra,2024,rear light (r),140,400,1700,kaggle
elantra,elantra,2024,side bumper(l),215,650,890,kaggle
elantra,elantra,2024,side bumper(r),215,650,890,kaggle
sonata,sonata,2018,car boot,1942,1401.56,"2,286.48",kaggle
sonata,sonata,2018,car hood,752.1,570,"3,041.90",kaggle
sonata,sonata,2018,driver door(f/r),1872,1872,3081,kaggle
sonata,sonata,2018,fender (f/l),206.83,580,808.12,kaggle
sonata,sonata,2018,fender (f/r),200.56,600,808.12,kaggle
sonata,sonata,2018,fender (r/l),206.83,206.83,2308.05,kaggle
sonata,sonata,2018,fender (r/r),200.56,200.56,2337.75,kaggle
sonata,sonata,2018,front bumper,212.55,920,1058,kaggle
sonata,sonata,2018,headlight (l),510,329,"2,662.00",kaggle
sonata,sonata,2018,headlight (r),465,329,"2,625.00",kaggle
sonata,sonata,2018,passenger door (f/l),689.43,1872,3024,kaggle
sonata,sonata,2018,passenger door (r/l),2080,2080,3479,kaggle
sonata,sonata,2018,passenger door (r/r),2080,2080,3411,kaggle
sonata,sonata,2018,rear bumper,275.77,1315.9,1066.83,kaggle
sonata,sonata,2018,rear light (l),272.52,510,"1,202",kaggle
sonata,sonata,2018,rear light (r),272.52,465,1201.79,kaggle
sonata,sonata,2018,side bumper(l),112.82,616.11,616,kaggle
sonata,sonata,2018,side bumper(r),112.82,616.11,616,kaggle
sonata,sonata,2019,car boot,1942,1401.56,2494.76,kaggle
sonata,sonata,2019,car hood,752.1,637,3031.72,kaggle
sonata,sonata,2019,driver door(f/r),1872,1872,2717.87,kaggle
sonata,sonata,2019,fender (f/l),206.83,580,1514.66,kaggle
sonata,sonata,2019,fender (f/r),200.56,600,1514.66,kaggle
sonata,sonata,2019,fender (r/l),206.83,206.83,3218.47,kaggle
sonata,sonata,2019,fender (r/r),200.56,200.56,3218.47,kaggle
sonata,sonata,2019,front bumper,212.55, 920,1024.29,kaggle
sonata,sonata,2019,headlight (l),510,510,"3,205",kaggle
sonata,sonata,2019,headlight (r),465,465,"3,205",kaggle
sonata,sonata,2019,passenger door (f/l),1698,1698,2717.87,kaggle
sonata,sonata,2019,passenger door (r/l),2080,2080,2877.89,kaggle
sonata,sonata,2019,passenger door (r/r),2080,2080,2877.89,kaggle
sonata,sonata,2019,rear bumper,275.77,1315.9,612.02,kaggle
sonata,sonata,2019,rear light (l),149.5,510,1233.01,kaggle
sonata,sonata,2019,rear light (r),149.5,460,1233.01,kaggle
sonata,sonata,2019,side bumper(l),112.82, 863.95 ,863.95,kaggle
sonata,sonata,2019,side bumper(r),112.82,863.95,863.95,kaggle
sonata,sonata,2020,car boot,2148,2031,2494.76,kaggle
sonata,sonata,2020,car hood,1242,932,3031.72,kaggle
sonata,sonata,2020,driver door(f/r),2322.13,2322.13,2717.87,kaggle
sonata,sonata,2020,fender (f/l),1380,"1,380.00",1514.66,kaggle
sonata,sonata,2020,fender (f/r),1035,1035,1514.66,kaggle
sonata,sonata,2020,fender (r/l),500,500,3218.47,kaggle
sonata,sonata,2020,fender (r/r),500,500,3218.47,kaggle
sonata,sonata,2020,front bumper,219.36, 650,1024.29,kaggle
sonata,sonata,2020,headlight (l),316.11,529.65,"3,205",kaggle
sonata,sonata,2020,headlight (r),294.31,470,"3,205",kaggle
sonata,sonata,2020,passenger door (f/l),2322.13,2322.13,2717.87,kaggle
sonata,sonata,2020,passenger door (r/l),600,600,2877.89,kaggle
sonata,sonata,2020,passenger door (r/r),600,600,2877.89,kaggle
sonata,sonata,2020,rear bumper,363.52,585,612.02,kaggle
sonata,sonata,2020,rear light (l),207.1,1118,1541.86,kaggle
sonata,sonata,2020,rear light (r),207.1,1118,1541.86,kaggle
sonata,sonata,2020,side bumper(l),863.95,863.95,863.95,kaggle
sonata,sonata,2020,side bumper(r),863.95,863.95,863.95,kaggle
sonata,sonata,2021,car boot,2148,2031,2494.76,kaggle
sonata,sonata,2021,car hood,501.4,932,3031.72,kaggle
sonata,sonata,2021,driver door(f/r),814.78,814.78,2717.87,kaggle
sonata,sonata,2021,fender (f/l),207.1,961,1514.66,kaggle
sonata,sonata,2021,fender (f/r),275.77,1035,1514.66,kaggle
sonata,sonata,2021,fender (r/l),207.1,207.1,3218.47,kaggle
sonata,sonata,2021,fender (r/r),275.77,275.77,3218.47,kaggle
sonata,sonata,2021,front bumper,219.36,650,1024.29,kaggle
sonata,sonata,2021,headlight (l),316.11,322,"3,205",kaggle
sonata,sonata,2021,headlight (r),294.31,417,"3,205",kaggle
sonata,sonata,2021,passenger door (f/l),814.78,2322.13,2717.87,kaggle
sonata,sonata,2021,passenger door (r/l),814.78,814.78,2877.89,kaggle
sonata,sonata,2021,passenger door (r/r),814.78,814.78,2877.89,kaggle
sonata,sonata,2021,rear bumper,363.52,585,612.02,kaggle
sonata,sonata,2021,rear light (l),207.1,1118,1242.74,kaggle
sonata,sonata,2021,rear light (r),207.1,1118,1242.74,kaggle
sonata,sonata,2021,side bumper(l),,,863.95,kaggle
sonata,sonata,2021,side bumper(r),,,863.95,kaggle
sonata,sonata,2022,car boot,1400,1372,2494.76,kaggle
sonata,sonata,2022,car hood,501.4,932,3031.72,kaggle
sonata,sonata,2022,driver door(f/r),814.78,814.78,2717.87,kaggle
sonata,sonata,2022,fender (f/l),207.1,961,1514.66,kaggle
sonata,sonata,2022,fender (f/r),275.77,1035,1514.66,kaggle
sonata,sonata,2022,fender (r/l),207.1,207.1,3218.47,kaggle
sonata,sonata,2022,fender (r/r),275.77,275.77,3218.47,kaggle
sonata,sonata,2022,front bumper,977.5,650,1024.29,kaggle
sonata,sonata,2022,headlight (l),690,507,"3,205",kaggle
sonata,sonata,2022,headlight (r),690,507,"3,205",kaggle
sonata,sonata,2022,passenger door (f/l),814.78,2322.13,2717.87,kaggle
sonata,sonata,2022,passenger door (r/l),814.78,814.78,2877.89,kaggle
sonata,sonata,2022,passenger door (r/r),814.78,814.78,2877.89,kaggle
sonata,sonata,2022,rear bumper,1300,1300,612.02,kaggle
sonata,sonata,2022,rear light (l),716,1118,1387.5,kaggle
sonata,sonata,2022,rear light (r),716,1118,1387.5,kaggle
sonata,sonata,2022,side bumper(l),,,863.95,kaggle
sonata,sonata,2022,side bumper(r),,,863.95,kaggle
sonata,sonata,2023,car boot,900,900.00,2494.76,kaggle
sonata,sonata,2023,car hood,800,932,3031.72,kaggle
sonata,sonata,2023,driver door(f/r),1000,1000,2717.87,kaggle
sonata,sonata,2023,fender (f/l),400,400,1514.66,kaggle
sonata,sonata,2023,fender (f/r),400,400,1514.66,kaggle
sonata,sonata,2023,fender (r/l),400,400,3218.47,kaggle
sonata,sonata,2023,fender (r/r),400,400,3218.47,kaggle
sonata,sonata,2023,front bumper,977.5,650,1024.29,kaggle
sonata,sonata,2023,headlight (l),800,2851,"3,205",kaggle
sonata,sonata,2023,headlight (r),800,2851,"3,205",kaggle
sonata,sonata,2023,passenger door (f/l),1000,1000,2717.87,kaggle
sonata,sonata,2023,passenger door (r/l),900,900,2877.89,kaggle
sonata,sonata,2023,passenger door (r/r),900,900,2877.89,kaggle
sonata,sonata,2023,rear bumper,1300,1300,612.02,kaggle
sonata,sonata,2023,rear light (l),500,500,1869.12,kaggle
sonata,sonata,2023,rear light (r),500,500,1869.12,kaggle
sonata,sonata,2023,side bumper(l),,,1031.93,kaggle
sonata,sonata,2023,side bumper(r),,,1031.93,kaggle
sonata,sonata,2024,car boot,1000,1500,2651.97,kaggle
sonata,sonata,2024,car hood,1300,2000,3461,kaggle
sonata,sonata,2024,driver door(f/r),1300,1500,3079.24,kaggle
sonata,sonata,2024,fender (f/l),1000,1100,2146.62,kaggle
sonata,sonata,2024,fender (f/r),1000,1100,2146.62,kaggle
sonata,sonata,2024,fender (r/l),1500,1100,3382.59,kaggle
sonata,sonata,2024,fender (r/r),1500,1100,3382.59,kaggle
sonata,sonata,2024,front bumper,1800,1800,984.32,kaggle
sonata,sonata,2024,headlight (l),600,580,3205,kaggle
sonata,sonata,2024,headlight (r),600,580,3205,kaggle
sonata,sonata,2024,passenger door (f/l),1300,1500,3079.24,kaggle
sonata,sonata,2024,passenger door (r/l),1200,1500,2963.27,kaggle
sonata,sonata,2024,passenger door (r/r),1200,1500,2963.27,kaggle
sonata,sonata,2024,rear bumper,1000,1000,681.88,kaggle
sonata,sonata,2024,rear light (l),1800,800,1869.12,kaggle
sonata,sonata,2024,rear light (r),1800,800,1869.12,kaggle
sonata,sonata,2024,side bumper(l),,,1031.93,kaggle
sonata,sonata,2024,side bumper(r),,,1031.93,kaggle
accent,accent,2018,car boot,894.36, 894.36,"1,184.01",kaggle
accent,accent,2018,car hood,436, 625,1060.38,kaggle
accent,accent,2018,driver door(f/r),"1,127.00", 1270,"1,702.90",kaggle
accent,accent,2018,fender (f/l),213.1, 260,350.64,kaggle
accent,accent,2018,fender (f/r),213.1, 169 ,350.64,kaggle
accent,accent,2018,fender (r/l),163.51, 163.51,988.73,kaggle
accent,accent,2018,fender (r/r),163.51,163.51,988.73,kaggle
accent,accent,2018,front bumper,141.7, 299,455.48,kaggle
accent,accent,2018,headlight (l),307.11, 739,"1,059.00",kaggle
accent,accent,2018,headlight (r),181.76, 478,"1,059.00",kaggle
accent,accent,2018,passenger door (f/l),1220, 1080,1702.9,kaggle
accent,accent,2018,passenger door (r/l),1179, 1179,"1,702.90",kaggle
accent,accent,2018,passenger door (r/r),689.43, 1024,1702.9,kaggle
accent,accent,2018,rear bumper,207.1, 299,387.07,kaggle
accent,accent,2018,rear light (l),162.96, 264,365.04,kaggle
accent,accent,2018,rear light (r),141.7, 262,365.04,kaggle
accent,accent,2018,side bumper(l),,,171.9,kaggle
accent,accent,2018,side bumper(r),,,171.9,kaggle
accent,accent,2019,car boot,894.36, 894.36,1184.01,kaggle
accent,accent,2019,car hood,436,625,944.55,kaggle
accent,accent,2019,driver door(f/r),"1,127.00", 1270,1702.9,kaggle
accent,accent,2019,fender (f/l),213.1, 260,350.64,kaggle
accent,accent,2019,fender (f/r),213.1, 169 ,350.64,kaggle
accent,accent,2019,fender (r/l),163.51,163.51,988.73,kaggle
accent,accent,2019,fender (r/r),163.51,163.51,988.73,kaggle
accent,accent,2019,front bumper,141.7, 299,455.48,kaggle
accent,accent,2019,headlight (l),307.11, 739,1948,kaggle
accent,accent,2019,headlight (r),181.76, 478,1948,kaggle
accent,accent,2019,passenger door (f/l),"1,236.00", 1080,1702.9,kaggle
accent,accent,2019,passenger door (r/l),1179, 1179,1702.9,kaggle
accent,accent,2019,passenger door (r/r),689.43, 1024,1702.9,kaggle
accent,accent,2019,rear bumper,207.1, 299,387.07,kaggle
accent,accent,2019,rear light (l),162.96, 264,365.04,kaggle
accent,accent,2019,rear light (r),141.7, 262,365.04,kaggle
accent,accent,2019,side bumper(l),,,171.9,kaggle
accent,accent,2019,side bumper(r),,,171.9,kaggle
accent,accent,2020,car boot,894.36, 894.36,1184.01,kaggle
accent,accent,2020,car hood,625, 625,"1,070.08",kaggle
accent,accent,2020,driver door(f/r),1127,1270,1702.9,kaggle
accent,accent,2020,fender (f/l),345,450,350.64,kaggle
accent,accent,2020,fender (f/r),345,450,350.64,kaggle
accent,accent,2020,fender (r/l),1390,1330,988.73,kaggle
accent,accent,2020,fender (r/r),1390,1330,988.73,kaggle
accent,accent,2020,front bumper,261.6, 299,632.82,kaggle
accent,accent,2020,headlight (l),359.71, 739,1948,kaggle
accent,accent,2020,headlight (r),359.66, 262,1948,kaggle
accent,accent,2020,passenger door (f/l),1220, 1080,1702.9,kaggle
accent,accent,2020,passenger door (r/l),"1,193.50", 1179,1702.9,kaggle
accent,accent,2020,passenger door (r/r),1024, 1024,1702.9,kaggle
accent,accent,2020,rear bumper,300.84, 299,640.18,kaggle
accent,accent,2020,rear light (l),162.96,290,1133,kaggle
accent,accent,2020,rear light (r),141.7,288,1133,kaggle
accent,accent,2020,side bumper(l),,,111.7,kaggle
accent,accent,2020,side bumper(r),,,111.7,kaggle
accent,accent,2021,car boot,1270,1350,1184.01,kaggle
accent,accent,2021,car hood,625, 717.31,1070.08,kaggle
accent,accent,2021,driver door(f/r),"1,575.64"," 1,575.64 ",1702.9,kaggle
accent,accent,2021,fender (f/l),375,340,350.64,kaggle
accent,accent,2021,fender (f/r),375,340,350.64,kaggle
accent,accent,2021,fender (r/l),1470,1480,988.73,kaggle
accent,accent,2021,fender (r/r),1470,1480,988.73,kaggle
accent,accent,2021,front bumper,261.6, 299,632.82,kaggle
accent,accent,2021,headlight (l),359.71, 359.71,1948,kaggle
accent,accent,2021,headlight (r),359.66,359.66,1948,kaggle
